Date	Time	Wind dir	Wind spd	Wind gust	Tmp	Dew pt	Feels like	rh	Fire	Rain	Rain 10'	Pres
01/01/2013	Wed 00:00 EDT	WNW	9	9	19.6	0.1	19.6	27	12	0.0	0.0	1011.4
01/01/2013	Tue 23:30 EDT	WNW	-	13	20.7	0.7	20.7	26	13	0.0	0.0	1011.1
01/01/2013	Tue 23:00 EDT	W	9	11	22.8	0.9	22.8	23	15	0.0	0.0	1011.0
01/01/2013	Tue 22:30 EDT	WNW	11	13	22.6	-1.0	22.6	21	17	0.0	0.0	1011.0
01/01/2013	Tue 22:00 EDT	WNW	15	19	23.9	-2.2	23.9	18	21	0.0	0.0	1011.1
01/01/2013	Tue 21:30 EDT	W	13	17	24.0	-2.0	24.0	18	20	0.0	0.0	1011.0
01/01/2013	Tue 21:00 EDT	WNW	15	22	25.8	-4.4	25.0	13	27	0.0	0.0	1010.8
01/01/2013	Tue 20:30 EDT	W	22	33	27.3	-6.4	26.0	10	37	0.0	0.0	1010.6
01/01/2013	Tue 20:00 EDT	W	20	28	27.7	-3.5	26.0	13	33	0.0	0.0	1010.4
01/01/2013	Tue 19:30 EDT	W	24	35	28.9	-5.2	27.0	10	41	0.0	0.0	1010.2
01/01/2013	Tue 19:00 EDT	W	26	35	29.8	-6.3	28.0	9	46	0.0	0.0	1010.4
01/01/2013	Tue 18:30 EDT	W	33	44	30.3	-7.6	28.0	8	57	0.0	0.0	1010.2
01/01/2013	Tue 18:07 EDT	W	30	48	30.9	-6.1	29.0	9	52	0.0	0.0	1010.2
01/01/2013	Tue 18:00 EDT	W	28	37	31.0	-6.3	29.0	8	51	0.0	0.0	1010.1
01/01/2013	Tue 17:30 EDT	W	31	44	31.3	-7.1	29.0	8	57	0.0	0.0	1010.2
01/01/2013	Tue 17:00 EDT	W	28	37	31.9	-3.9	30.0	10	49	0.0	0.0	1010.4
01/01/2013	Tue 16:30 EDT	WNW	30	33	32.4	-3.9	30.0	9	54	0.0	0.0	1010.6
01/01/2013	Tue 16:00 EDT	W	26	31	32.0	-2.6	30.0	11	46	0.0	0.0	1010.9
01/01/2013	Tue 15:30 EDT	W	28	35	31.7	-2.0	30.0	11	47	0.0	0.0	1011.1
01/01/2013	Tue 15:00 EDT	W	28	39	31.5	-1.6	29.0	12	45	0.0	0.0	1011.3
01/01/2013	Tue 14:36 EDT	WNW	30	52	31.1	-2.8	29.0	11	49	0.0	0.0	1011.6
01/01/2013	Tue 14:30 EDT	WNW	28	39	31.5	-2.1	29.0	11	47	0.0	0.0	1011.7
01/01/2013	Tue 14:00 EDT	WNW	31	43	30.8	-2.7	29.0	11	50	0.0	0.0	1012.1
01/01/2013	Tue 13:30 EDT	WNW	31	43	30.5	-3.0	29.0	11	50	0.0	0.0	1012.5
01/01/2013	Tue 13:00 EDT	WNW	24	33	29.9	-1.8	28.0	13	38	0.0	0.0	1012.8
01/01/2013	Tue 12:30 EDT	WNW	30	35	29.8	-1.2	28.0	13	43	0.0	0.0	1013.0
01/01/2013	Tue 12:00 EDT	WNW	22	30	28.1	-1.6	27.0	14	33	0.0	0.0	1013.3
01/01/2013	Tue 11:30 EDT	W	22	30	28.2	0.7	27.0	17	30	0.0	0.0	1013.7
01/01/2013	Tue 11:00 EDT	W	26	37	27.9	-0.8	27.0	15	35	0.0	0.0	1014.0
01/01/2013	Tue 10:30 EDT	WNW	24	35	27.9	-0.8	27.0	15	33	0.0	0.0	1013.9
01/01/2013	Tue 10:00 EDT	W	19	26	26.1	2.1	26.0	21	22	0.0	0.0	1014.0
01/01/2013	Tue 09:30 EDT	NW	11	15	24.5	2.4	24.5	24	16	0.0	0.0	1014.1
01/01/2013	Tue 09:00 EDT	NW	11	13	23.1	4.1	23.1	29	13	0.0	0.0	1014.2
01/01/2013	Tue 08:30 EDT	N	6	7	20.1	4.7	20.1	36	8	0.0	0.0	1014.1
01/01/2013	Tue 08:00 EDT	N	6	7	17.5	6.0	17.5	47	5	0.0	0.0	1014.1
01/01/2013	Tue 07:30 EDT	-	0	0	14.1	7.4	14.1	64	2	0.0	0.0	1014.2
01/01/2013	Tue 07:00 EDT	SSW	4	9	11.5	7.3	11.5	75	2	0.0	0.0	1013.9
01/01/2013	Tue 06:30 EDT	-	0	0	9.9	5.2	9.9	73	1	0.0	0.0	1013.7
01/01/2013	Tue 06:00 EDT	-	0	0	9.6	4.9	9.6	72	1	0.0	0.0	1013.5
01/01/2013	Tue 05:30 EDT	-	0	0	9.5	4.5	9.5	71	2	0.0	0.0	1013.5
01/01/2013	Tue 05:00 EDT	-	0	0	9.4	4.9	9.4	73	1	0.0	0.0	1013.1
01/01/2013	Tue 04:30 EDT	ESE	9	9	8.7	4.6	7.2	75	2	0.0	0.0	1012.8
01/01/2013	Tue 04:00 EDT	N	7	11	10.0	4.8	9.1	70	2	0.0	0.0	1012.8
01/01/2013	Tue 03:30 EDT	SE	7	9	11.1	5.9	10.4	70	2	0.0	0.0	1012.9
01/01/2013	Tue 03:00 EDT	SSW	9	11	10.1	5.2	8.9	72	2	0.0	0.0	1012.9
01/01/2013	Tue 02:30 EDT	SSW	2	9	9.6	4.6	9.6	71	2	0.0	0.0	1012.9
01/01/2013	Tue 02:00 EDT	SW	2	7	12.5	4.7	12.5	59	3	0.0	0.0	1013.2
01/01/2013	Tue 01:30 EDT	SSW	6	9	13.3	5.9	13.3	61	3	0.0	0.0	1013.4
01/01/2013	Tue 01:00 EDT	-	0	0	12.8	4.6	12.8	57	3	0.0	0.0	1013.5
01/01/2013	Tue 00:30 EDT	-	0	0	14.5	4.7	14.5	52	3	0.0	0.0	1014.0
01/01/2013	Tue 00:00 EDT	ENE	2	6	15.9	3.7	15.9	44	5	0.0	0.0	1014.1
02/01/2013	Thu 00:00 EDT	E	7	9	12.4	9.9	11.9	85	1	0.0	0.0	1019.6
02/01/2013	Wed 23:30 EDT	ESE	9	11	12.6	9.9	11.8	84	1	0.0	0.0	1019.4
02/01/2013	Wed 23:00 EDT	ESE	11	15	13.0	10.0	12.1	82	2	0.0	0.0	1019.3
02/01/2013	Wed 22:30 EDT	ESE	17	24	13.3	10.1	11.8	81	2	0.0	0.0	1019.1
02/01/2013	Wed 22:00 EDT	E	11	15	13.6	10.0	12.8	79	2	0.0	0.0	1018.6
02/01/2013	Wed 21:30 EDT	E	11	19	13.7	10.3	12.9	80	2	0.0	0.0	1018.1
02/01/2013	Wed 21:00 EDT	E	13	26	14.0	10.5	13.0	79	2	0.0	0.0	1017.9
